"Бренд";"Тип_детали";"Артикул_Бренда";"Артикул_Кросс";"Оригинальный_номер";"Наименование";"Категория";"Код";"Артикул";"Единица";"Главная категория"
"Ti-Guar";"Стойка стабилизатора";"TG-48820-34020";"SL-3560";"48820-34020";"SL-3560 48820-34020 стойка стабилизатора TI-GUAR";"555/SL стойки стабилизатора";"2381";"54447";"шт";"555"
"SUFIX";"Тяга рулевая";"SD-1305";"CRN-8";"";"CRN-8/SD-1305 тяга рулевая SUFIX";"555/SR рулевые тяги";"LEN00015017";"";"шт";"555"
"Ti-Guar";"Тяга рулевая";"";"CRT-37";"";"CRT-37/SR-2970 тяга рулевая TI-GUAR";"555/SR рулевые тяги";"LEN00008363";"";"шт";"555"
"Ti-Guar";"Тяга рулевая";"TG-45503-29215";"SR-2920";"45503-29215";"SR-2920 TG-45503-29215 тяга рулеваяTI-GUAR";"555/SR рулевые тяги";"LEN00007522";"54200";"шт";"555"
"Ti-Guar";"Тяга рулевая";"TG-48521-3U025";"SR-4950";"48521-3U025";"SR-4950 Рулевая тяга TG-48521-3U025 TiGuar";"555/SR рулевые тяги";"LEN00009175";"";"шт";"555"
"Ti-Guar";"Шаровая опора";"TG-40160-41U00";"SB-4872";"40160-41U00";"SB-4872  TG-40160-41U00 шаровые опоры TI-GUAR";"CHASE/SB шаровые опоры";"774";"";"шт";"CHASE"
"Ti-Guar";"Шаровая опора";"TG-40160-AV60A";"SB-4882";"40160-AV60A";"SB-4882 Шаровая опора TG-40160-AV60A TiGuar";"CHASE/SB шаровые опоры";"775";"";"шт";"CHASE"
"Ti-Guar";"Рулевой наконечник";"TG-48520-50Y00";"CEN-47";"48520-50Y00";"CEN-47 48520-50Y00 рулевой наконечник  TI-GUAR";"CHASE/SE рулевой наконечник";"782";"";"шт";"CHASE"
"Ti-Guar";"Рулевой наконечник";"";"SE-6191L";"";"SE-6191L рулевой наконечник CR-V/CIVIC TI-GUAR";"CHASE/SE рулевой наконечник";"687";"53560-SR3-003";"шт";"CHASE"
"Ti-Guar";"Рулевой наконечник";"";"SE-6191R";"";"SE-6191R рулевой наконечник CR-V/CIVIC TI-GUAR";"CHASE/SE рулевой наконечник";"688";"53540-SR3-003";"шт";"CHASE"
"Ti-Guar";"Рулевой наконечник";"";"SE-7461";"";"SE-7461 рулевой наконечник TI-GUAR";"CHASE/SE рулевой наконечник";"LEN00011072";"48810-76G00";"шт";"CHASE"
"Ti-Guar";"Рулевой наконечник";"TG-6001550442";"";"";"TG-6001550442 Наконечник рулевой  TiGuar";"CHASE/SE рулевой наконечник";"LEN00009821";"";"шт";"CHASE"
"Ti-Guar";"Рулевой наконечник";"TG-6001550443";"";"";"TG-6001550443 Наконечник рулевой  TiGuar";"CHASE/SE рулевой наконечник";"LEN00009822";"";"шт";"CHASE"
"Ti-Guar";"Стойка стабилизатора";"TG-1203093";"";"";"2123-FOC TG-1203093 стойка стабилизатора TI-GUAR";"CHASE/SL стойки стабилизатора";"LEN00010863";"";"шт";"CHASE"
